entry_at,symbol,direction,pnl,hvn_dist_atr,hvn_density_above,hvn_density_below,poc_dist_bps,ema_value,ema_dist_bps,ema_dist_atr,ema_low_below_ema,ema_high_above_ema,bars_since_avwap_cross_session_open,bars_since_avwap_cross_pd_high,bars_since_avwap_cross_pd_low,avwap_cross_breach_max_atr_session_open,avwap_cross_breach_max_atr_pd_high,avwap_cross_breach_max_atr_pd_low,hvn_bucket,ema_bucket,time_split,symbol_split
2025-08-08T08:49:00-05:00,AMD,LONG,-187.9409,26.507,0,1,-737.21,173.8125,141.97,5.007,0,1,2,78,112,3.010,10.526,9.834,far,outside,IS,IS
2025-08-08T09:14:00-05:00,SOFI,LONG,-188.7238,10.858,0,3,-499.89,22.2406,139.10,3.065,0,1,1,83,2,2.891,5.294,4.271,far,outside,IS,IS
2025-08-12T08:39:00-05:00,AFRM,LONG,-208.8842,4.244,0,4,-485.65,74.6007,371.21,5.580,0,1,17,1,75,1.761,6.389,7.376,far,outside,IS,OOS
2025-08-12T08:49:00-05:00,MU,LONG,-194.3857,7.422,0,10,-572.56,124.1323,147.64,4.221,0,1,2,152,248,2.260,14.694,12.223,far,outside,IS,IS
2025-08-13T08:39:00-05:00,COIN,LONG,199.6003,12.050,0,5,-995.45,326.2792,359.15,8.668,0,1,5,1,5,3.244,11.391,11.079,far,outside,IS,IS
2025-08-22T08:49:00-05:00,SOXL,LONG,545.1815,12.459,3,0,452.27,25.7230,208.71,5.817,0,1,3,79,31,4.152,8.995,8.909,far,outside,IS,IS
2025-08-22T09:04:00-05:00,AVGO,LONG,108.5197,4.987,0,8,-229.49,291.7923,132.89,3.010,1,1,0,17,16,0.000,4.884,4.500,far,outside,IS,OOS
2025-08-22T09:09:00-05:00,IWM,LONG,114.8679,7.126,0,4,-188.85,228.8375,151.31,5.712,0,1,1,35,34,4.105,7.584,10.955,far,outside,IS,IS
2025-08-22T09:09:00-05:00,MRNA,LONG,166.7413,7.868,0,1,-436.14,26.7736,226.49,4.006,0,1,1,7,7,3.604,6.771,6.603,far,outside,IS,IS
2025-08-25T08:54:00-05:00,RIVN,LONG,145.2043,18.474,0,5,-915.18,13.1090,134.30,2.794,0,1,3,1,106,2.535,2.651,12.905,far,outside,IS,IS
2025-08-28T08:44:00-05:00,SNOW,LONG,341.2328,16.240,0,4,-1291.86,214.9208,773.74,9.040,0,1,32,77,39,5.111,11.192,13.819,far,outside,IS,OOS
2025-09-03T08:44:00-05:00,RBLX,LONG,129.4407,17.386,0,4,-516.80,129.1675,95.42,3.376,0,1,1,75,75,2.304,10.480,10.210,far,outside,IS,IS
2025-09-03T09:04:00-05:00,HIMS,LONG,73.4920,0.000,2,0,14.21,43.5543,273.40,3.614,0,1,15,6,14,3.278,7.423,8.277,near,outside,IS,IS
2025-09-08T08:39:00-05:00,AVGO,LONG,184.5449,6.793,0,3,-380.74,339.9990,252.97,5.612,0,1,1,144,144,0.974,9.099,8.565,far,outside,IS,OOS
2025-09-10T08:39:00-05:00,AVGO,LONG,138.4583,11.755,0,3,-635.86,344.8683,463.56,8.256,0,1,1,1,1,2.871,8.939,5.207,far,outside,IS,OOS
2025-09-10T08:49:00-05:00,SOFI,LONG,-233.3569,6.678,0,6,-412.43,26.3121,185.42,3.580,0,1,2,33,33,2.367,5.353,5.918,far,outside,IS,IS
2025-09-11T08:39:00-05:00,RIVN,LONG,-226.7524,0.461,0,15,-58.94,14.1249,246.69,5.825,0,1,1,5,2,2.328,6.364,8.099,near,outside,IS,IS
2025-09-11T08:39:00-05:00,MU,LONG,-209.5017,9.886,0,6,-1677.61,144.9828,697.13,6.992,0,1,1,146,218,1.880,8.301,9.203,far,outside,IS,IS
2025-09-11T08:49:00-05:00,RBLX,LONG,-229.8718,5.905,0,4,-330.76,133.4020,187.50,3.360,1,1,0,0,9,0.000,0.000,5.143,far,outside,IS,IS
2025-09-11T08:54:00-05:00,HIMS,LONG,-208.9467,1.884,0,20,-433.64,49.0446,284.51,4.247,0,1,1,1,4,3.337,3.111,4.930,far,outside,IS,IS
2025-09-11T09:29:00-05:00,TSLA,LONG,130.1295,7.657,0,3,-336.90,354.2961,129.38,3.240,0,1,7,4,4,4.149,4.426,4.659,far,outside,IS,OOS
2025-09-15T08:39:00-05:00,GOOGL,LONG,-184.1730,11.484,0,5,-435.84,244.0763,264.00,7.710,0,1,63,52,52,5.514,7.635,10.433,far,outside,IS,OOS
2025-09-17T09:19:00-05:00,MRVL,LONG,-212.6169,13.564,0,8,-656.46,70.3736,190.61,4.224,0,1,45,61,61,5.501,8.534,8.478,far,outside,IS,IS
2025-09-18T08:39:00-05:00,HOOD,LONG,170.2009,15.453,0,2,-436.00,119.6553,231.06,8.064,0,1,11,11,11,2.968,8.598,13.572,far,outside,IS,IS
2025-09-19T08:49:00-05:00,PLTR,LONG,117.5278,22.421,0,1,-621.71,178.9997,140.80,4.996,0,1,53,87,87,6.432,16.342,12.081,far,outside,IS,OOS
2025-09-22T09:49:00-05:00,MRNA,LONG,139.3800,7.653,0,11,-630.98,26.2064,180.71,2.583,0,1,14,14,14,4.180,7.237,6.348,far,outside,IS,IS
2025-09-24T12:09:00-05:00,MRVL,LONG,-302.3679,9.344,0,4,-731.53,77.6745,343.16,4.372,1,1,3,9,8,4.427,5.947,5.536,far,outside,IS,IS
2025-09-29T08:49:00-05:00,HOOD,LONG,159.8747,9.968,0,2,-387.73,124.3758,225.46,5.649,0,1,3,3,3,3.116,9.398,8.647,far,outside,IS,IS
2025-09-29T08:49:00-05:00,MU,LONG,-116.5437,2.313,0,1,-105.63,160.5042,256.43,5.725,0,1,3,3,3,2.473,8.711,5.447,far,outside,IS,IS
2025-09-30T08:59:00-05:00,SMCI,LONG,-210.3968,3.245,0,12,-367.19,47.2147,174.79,3.495,0,1,4,4,4,3.662,6.071,6.150,far,outside,IS,IS
2025-10-01T08:59:00-05:00,SMCI,LONG,98.1408,5.613,0,7,-542.48,48.2764,141.59,2.849,0,1,4,4,4,3.407,6.129,6.427,far,outside,IS,IS
2025-10-02T08:44:00-05:00,COIN,LONG,109.2942,18.072,0,3,-845.76,353.1269,285.86,5.977,0,1,1,11,270,2.880,8.074,10.981,far,outside,IS,IS
2025-10-06T08:39:00-05:00,MU,LONG,-232.0729,17.738,0,4,-1010.90,191.5268,462.76,7.916,0,1,1,23,20,2.388,8.398,9.311,far,outside,IS,IS
2025-10-06T08:49:00-05:00,SMCI,LONG,-196.8830,8.947,0,3,-654.64,53.8039,396.09,5.350,0,1,2,3,3,2.439,8.326,7.518,far,outside,IS,IS
2025-10-06T09:24:00-05:00,SOFI,LONG,-220.0909,2.289,0,6,-284.68,25.8062,307.59,3.935,0,1,2,4,10,3.648,5.532,5.121,far,outside,IS,IS
2025-10-06T12:39:00-05:00,CRM,LONG,-132.2426,6.093,0,1,-253.53,242.7224,204.66,4.781,0,1,34,6,6,8.479,7.536,7.462,far,outside,IS,OOS
2025-10-07T08:44:00-05:00,SOFI,LONG,239.8425,6.077,0,5,-793.28,27.1425,296.48,4.898,0,1,1,60,66,2.164,8.913,8.098,far,outside,IS,IS
2025-10-08T08:49:00-05:00,MRNA,LONG,-194.8264,3.929,0,3,-378.20,27.7237,233.13,4.575,0,1,13,3,12,3.485,7.296,6.998,far,outside,IS,IS
2025-10-10T08:44:00-05:00,COIN,LONG,-208.7325,7.341,0,8,-319.89,391.4036,216.31,5.344,0,1,2,2,4,3.115,6.577,6.616,far,outside,IS,IS
2025-10-13T08:54:00-05:00,AVGO,LONG,105.4811,3.306,0,8,-308.04,343.0740,322.55,3.536,0,1,2,4,4,1.652,5.099,3.089,far,outside,IS,OOS
2025-10-15T08:54:00-05:00,AMD,LONG,149.4730,7.603,0,6,-481.35,224.7353,237.38,4.012,0,1,2,4,4,3.377,5.114,6.404,far,outside,IS,IS
2025-10-15T09:04:00-05:00,HIMS,LONG,147.4751,3.205,0,4,-218.09,55.4724,105.93,1.532,0,1,2,6,6,2.066,3.009,5.822,far,outside,IS,IS
2025-10-16T08:39:00-05:00,CRM,LONG,-210.0350,7.446,0,4,-436.20,243.1625,496.28,8.428,0,1,1,1,1,1.104,7.942,6.746,far,outside,IS,OOS
2025-10-17T09:19:00-05:00,TSLA,LONG,-186.2316,2.511,0,5,-126.52,433.1787,136.00,2.925,0,1,6,5,6,3.656,4.452,4.804,far,outside,IS,OOS
2025-10-20T08:39:00-05:00,HOOD,LONG,146.4222,0.000,9,2,97.41,131.9671,220.35,5.354,0,1,46,1,19,5.860,5.787,9.041,near,outside,IS,IS
2025-10-20T08:44:00-05:00,SMCI,LONG,-191.5632,3.755,0,12,-430.63,54.4048,359.84,4.850,0,1,9,2,7,1.689,7.664,7.952,far,outside,IS,IS
2025-10-20T09:04:00-05:00,AMD,LONG,117.3062,1.395,0,6,-97.64,237.0730,108.66,2.358,0,1,3,6,18,2.298,8.487,10.083,far,outside,IS,IS
2025-10-21T08:44:00-05:00,AFRM,LONG,126.0922,3.674,0,7,-671.01,72.2643,129.49,2.738,0,1,66,1,77,6.389,2.606,8.584,far,outside,IS,OOS
2025-10-21T09:34:00-05:00,RIVN,LONG,91.9711,1.343,1,6,-271.15,13.2425,122.73,2.064,0,1,9,5,9,3.857,4.378,5.578,far,outside,IS,IS
2025-10-24T08:39:00-05:00,AMD,LONG,128.9976,6.948,0,5,-423.58,239.6478,413.61,8.798,0,1,32,75,76,4.186,9.638,13.511,far,outside,IS,IS
2025-10-29T08:49:00-05:00,PLTR,LONG,138.3784,6.101,0,6,-228.56,192.0475,152.51,4.414,0,1,1,7,3,3.265,5.373,6.852,far,outside,IS,OOS
2025-10-30T10:19:00-05:00,MRNA,LONG,-238.2659,0.096,2,1,21.31,25.1221,636.09,5.771,0,1,7,1,4,4.121,5.099,4.643,near,outside,IS,IS
2025-10-31T08:44:00-05:00,COIN,LONG,155.2056,2.549,2,4,148.48,338.0809,268.55,4.609,0,1,2,2,2,2.763,5.377,3.724,far,outside,IS,IS
2025-10-31T08:44:00-05:00,MRVL,LONG,-191.8492,11.400,0,6,-690.08,91.9245,382.98,6.212,0,1,1,2,2,2.429,8.568,8.394,far,outside,IS,IS
2025-10-31T08:54:00-05:00,NET,LONG,-242.5659,7.408,0,4,-856.11,237.2547,438.57,4.278,0,1,2,4,4,2.765,6.195,3.234,far,outside,IS,OOS
2025-11-05T08:54:00-06:00,MU,LONG,-178.6463,4.031,0,8,-363.08,227.6472,319.92,3.548,0,1,3,4,4,2.565,5.123,3.049,far,outside,IS,IS
2025-11-05T08:54:00-06:00,SOXL,LONG,-218.2795,5.609,13,0,604.57,44.5316,283.71,2.720,0,1,4,1,4,2.856,2.539,3.534,far,outside,IS,IS
2025-11-05T09:09:00-06:00,MRVL,LONG,-179.8172,4.484,0,3,-332.38,90.9521,184.49,2.482,0,1,7,7,7,2.651,4.856,4.787,far,outside,IS,IS
2025-11-06T08:44:00-06:00,MU,LONG,-195.4527,8.979,0,4,-367.35,241.3159,192.03,4.645,0,1,65,66,66,9.187,17.397,10.204,far,outside,IS,IS
